0,1
S-EPE,"Strategic Expected
Positive Exposure"
S-EF,"Strategic Enhanced
Factor"
SFC,"Securities and
Futures Commission
(Hong Kong)"
SFTQ,"Severe Flight to
Quality"
SIMM,"Standard Initial
Margin Model"
SMP,"Standard Margin
Process"
TRS,Total Return Swap
VaR,Value-at-Risk
VM,Variation Margin
XVA,X-Value Adjustment
YTD,Year to Date
