0,1
IM,Initial Margin
ISDA,"International Swaps
and Derivatives
Association"
KYC,"Know Your
Customer"
MPOR,"Margin Period of
Risk"
MTM,Mark-to-Market
NAV,Net Asset Value
NMV,Net Market Value
PB,Prime Brokerage
PE,Potential Exposure
PnL,Profit and Loss
PSA,"Portfolio Swap
Annex"
