0,1
CRO,Chief Risk Officer
CS,"Credit Suisse Group
AG and relevant
subsidiaries"
CSi,"Credit Suisse
International"
CSSEL,"Credit Suisse
Securities (Europe)
Ltd."
CSSU,"Credit Suisse
Securities (USA)
LLC"
CVA,"Credit Valuation
Adjustments"
DOJ,"Department of
Justice (U.S.)"
DTV,"Daily Trading
Volume"
EAUD,"Equity Available
Upon Default"
EMEA,"Europe, Middle East,
Africa region"
ETF,"Exchange Traded
Fund"
