0,1
PSR,Prime Services Risk
PSRC,"Prime Services Risk
Committee"
QAT,"Quantitative
Analysis and
Technology"
RDM,"Risk Data
Management"
RMC,"Risk Management
Committee"
RRR,"Reputational Risk
Review"
RRRP,"Reputational Risk
Review Process"
RWA,Risk Weighted Asset
"SA-
CCR","Standardized
Approach -
Counterparty Credit
Risk"
SCMA,"Swap & Collateral
Management
Agreement"
SEC,"Securities and
Exchange
Commission (U.S.)"
